2011-10-10,,,,2.25768717813e-08,2.25768717813e-08
2011-10-11,1.53651590625e-09,1.52083364656e-09,1.55651121327e-09,1.59186335101e-09,1.59277642063e-09
2011-10-12,1.49915479019e-09,1.48233359377e-09,1.47770309493e-09,,1.49915479019e-09
2011-10-13,1.61500936167e-09,1.55146638595e-09,1.63475284073e-09,1.48669756472e-09,1.63475284073e-09
2011-10-14,1.08615447555e-09,1.44824761527e-09,,,1.49538358878e-09
2011-10-15,,,,,
2011-10-16,,,,,
2011-10-17,,,,,
2011-10-18,,,,,
2011-10-19,,,,,
2011-10-20,,,,,
2011-10-21,,,,,
2011-10-22,,,,,
2011-10-23,,,,,
2011-10-24,,,6.19292262744e-07,3.66472839294e-07,6.19292262744e-07
2011-10-25,2.05228060927e-06,1.99176167752e-06,6.22917599313e-07,2.40689043573e-07,2.41212124864e-06
2011-10-26,1.12284135989e-06,1.70740566658e-06,1.40704831487e-06,6.28512245846e-07,1.70740566658e-06
2011-10-27,2.83996890483e-06,2.90177286774e-06,2.17975770498e-06,4.60973578406e-07,2.95334840649e-06
2011-10-28,2.02364392441e-06,3.65084336118e-06,2.53082656941e-06,6.79405598441e-07,3.65084336118e-06
2011-10-29,2.42127224583e-06,2.95465453934e-06,2.07399025138e-06,3.4982473675e-07,2.95465453934e-06
2011-10-30,2.48478205174e-06,1.98861882018e-06,1.40620883506e-06,5.86083809035e-07,2.48478205174e-06
2011-10-31,1.85138933464e-06,3.19822905339e-06,1.71023927668e-06,5.27741283429e-07,3.19822905339e-06
2011-11-01,2.46400176125e-06,3.30786274714e-06,2.19522705924e-06,5.46907262261e-07,3.30786274714e-06
2011-11-02,2.959774565e-06,3.6261246739e-06,2.33767103209e-06,6.41278128179e-07,3.6261246739e-06
2011-11-03,2.23455631959e-06,3.41163748499e-06,2.1624856252e-06,5.36585538609e-07,3.41163748499e-06
2011-11-04,2.51539573989e-06,2.625047984e-06,1.16509900107e-06,4.00792301557e-07,2.625047984e-06
2011-11-05,2.89409252988e-06,3.38945276214e-06,2.11981413999e-06,5.86321562874e-07,3.4618437185e-06
2011-11-06,3.0477665792e-06,3.67017752151e-06,1.57086761996e-06,2.92142614348e-07,3.67017752151e-06
2011-11-07,2.76491473672e-06,3.47468840178e-06,1.61581000431e-06,3.5756194495e-07,3.52903815439e-06
2011-11-08,7.84267990318e-07,6.66279023219e-07,4.58768122486e-07,7.72903881686e-08,7.84267990318e-07
2011-11-09,5.88549762788e-07,8.13357004183e-07,5.74807194591e-07,1.0818549136e-07,8.13357004183e-07
2011-11-10,2.46925055391e-06,2.61389433262e-06,1.57927367902e-06,3.60198037357e-07,2.69633665492e-06
2011-11-11,2.58019695661e-06,3.01074430075e-06,1.59422020664e-06,3.37581895433e-07,3.25883906527e-06
2011-11-12,2.82856282341e-06,3.36913563242e-06,2.1185512087e-06,4.77623293912e-07,3.36913563242e-06
2011-11-13,2.285632004e-06,3.57523182348e-06,2.4344049169e-06,5.5797786631e-07,3.57523182348e-06
2011-11-14,2.61267439499e-06,3.23964331565e-06,2.08948117332e-06,4.84413836235e-07,3.23964331565e-06
2011-11-15,2.48066236352e-06,3.20854279924e-06,2.13868452143e-06,4.97387090246e-07,3.20854279924e-06
2011-11-16,2.2518026734e-06,3.05790035299e-06,1.49921666508e-06,4.15535332708e-07,3.05790035299e-06
2011-11-17,1.7466112071e-06,1.14234308131e-06,8.39112647898e-07,2.12458779718e-07,1.87661086617e-06
2011-11-18,9.20059271241e-07,1.42349509399e-06,6.73833162726e-07,6.12591912924e-08,1.42349509399e-06
2011-11-19,1.52592852338e-06,3.41502724299e-06,2.09959162064e-06,4.73862767899e-07,3.41502724299e-06
2011-11-20,2.49999602077e-06,3.15464763337e-06,2.07952884096e-06,4.93936377218e-07,3.15464763337e-06
2011-11-21,1.54411855881e-06,1.87876855669e-06,7.49801765451e-07,2.67601878738e-07,1.87876855669e-06
2011-11-22,1.45473976429e-06,2.44524694215e-06,1.93081826824e-06,3.66999229469e-07,2.47143107756e-06
2011-11-23,2.51409013357e-06,3.08042058906e-06,1.93592228612e-06,4.58670819515e-07,3.09810534403e-06
2011-11-24,2.33755699068e-06,2.95862651514e-06,1.9856062728e-06,4.38970853292e-07,2.95862651514e-06
2011-11-25,1.80840243651e-06,1.51495331725e-06,8.87174083462e-07,2.03142742151e-07,1.94617670403e-06
2011-11-26,7.73294092311e-07,5.47586475343e-07,1.81675475882e-06,3.393008505e-07,1.81675475882e-06
2011-11-27,2.28872659383e-06,2.71322308087e-06,1.7664420145e-06,4.38730887312e-07,2.71322308087e-06
2011-11-28,2.11520984164e-06,2.4456631516e-06,1.58025336726e-06,3.55927546444e-07,2.59244158394e-06
2011-11-29,1.77983411445e-06,1.99470458064e-06,1.20356384943e-06,3.84050718376e-07,2.07096130197e-06
2011-11-30,1.44044349367e-06,2.05985983403e-06,1.56867792647e-06,3.6204801087e-07,2.16672071329e-06
2011-12-01,2.20197794287e-06,2.89257830353e-06,1.79341417208e-06,4.71091384007e-07,2.89257830353e-06
2011-12-02,2.38163003131e-06,3.00896103132e-06,1.98752660303e-06,4.88465775837e-07,3.00896103132e-06
2011-12-03,2.34167855732e-06,3.24095506423e-06,2.15704283965e-06,4.92766074987e-07,3.24095506423e-06
2011-12-04,2.25874174801e-06,2.8434625923e-06,1.87396707621e-06,4.5479818229e-07,2.8434625923e-06
2011-12-05,1.39133230805e-06,1.97037908959e-06,1.35916634826e-06,2.88216153396e-07,2.20705418641e-06
2011-12-06,2.11571522966e-06,2.13378226696e-06,1.6172595632e-06,3.71027588148e-07,2.24829895129e-06
2011-12-07,1.42350265705e-06,9.64791414049e-07,9.57796551031e-07,1.91263563559e-07,1.42350265705e-06
2011-12-08,1.8349512424e-06,2.81747106887e-06,1.79661106467e-06,3.67211103506e-07,2.81747106887e-06
2011-12-09,1.82365957286e-06,2.83432646891e-06,1.55444260698e-06,4.94435122853e-07,2.83432646891e-06
