time,10H,12H,14H,16H,max
2011-10-10,-4.52694217991e-06,-2.64168335485e-06,-4.27247643556e-06,-4.75615650476e-06,5.95115007623e-06
2011-10-11,-4.64544843408e-06,-4.69216951532e-06,-4.64092618706e-06,-4.57064021563e-06,-4.57064021563e-06
2011-10-12,-4.6610838374e-06,-4.74046890887e-06,-4.8036035324e-06,,-4.6610838374e-06
2011-10-13,-4.52080884301e-06,-4.62451324709e-06,-4.40009235698e-06,-4.77262474282e-06,-4.40009235698e-06
2011-10-14,-5.41360894917e-06,-4.71933357354e-06,,,-4.63176434618e-06
2011-10-15,,,,,
2011-10-16,,,,,
2011-10-17,,,,,
2011-10-18,,,,,
2011-10-19,,,,,
2011-10-20,,,,,
2011-10-21,,,,,
2011-10-22,,,,,
2011-10-23,,,,,
2011-10-24,,,-1.12972498706e-06,-1.06581563545e-07,6.35561928588e-07
2011-10-25,1.139798507e-05,1.18025923202e-05,-7.42729700416e-08,-4.77505816063e-06,1.57038728253e-05
2011-10-26,2.14898807721e-06,7.79321170482e-06,4.73922321139e-06,-7.24589816503e-08,7.79321170482e-06
2011-10-27,2.01676434368e-05,2.2237673072e-05,1.66298560292e-05,4.50774063945e-07,2.25437289653e-05
2011-10-28,1.04329026055e-05,2.96410539937e-05,2.01872360566e-05,3.84545463905e-06,2.96410539937e-05
2011-10-29,1.5625848216e-05,2.07147257744e-05,1.30641449175e-05,-3.08006208519e-06,2.07147257744e-05
2011-10-30,1.44871244223e-05,1.08657344242e-05,5.90914848359e-06,-4.18052035459e-07,1.44871244223e-05
2011-10-31,9.02692809561e-06,2.4906716624e-05,1.10699691532e-05,-3.47023390255e-07,2.4906716624e-05
2011-11-01,1.7065901463e-05,2.62649887669e-05,1.81013886275e-05,1.4869003114e-06,2.62649887669e-05
2011-11-02,2.21163103116e-05,2.98123930824e-05,2.04009989307e-05,5.48583392158e-06,2.98123930824e-05
2011-11-03,1.34928138241e-05,2.72445145858e-05,1.87984965405e-05,2.40743799679e-06,2.72445145858e-05
2011-11-04,1.96320752621e-05,2.24129971221e-05,6.94938276391e-06,-1.3049527659e-06,2.24129971221e-05
2011-11-05,2.40853928532e-05,3.13344597606e-05,2.02283765328e-05,3.47169773666e-06,3.13344597606e-05
2011-11-06,2.50200287201e-05,3.33234799386e-05,1.27356071984e-05,-1.5535628371e-06,3.33234799386e-05
2011-11-07,2.17730874544e-05,3.05381198595e-05,1.14860440329e-05,-2.00180781728e-06,3.0839074635e-05
2011-11-08,-4.392644615e-07,-1.06140401891e-06,-3.09973361432e-06,3.04158433826e-05,3.04158433826e-05
2011-11-09,-2.74075087678e-06,-3.71033748135e-07,-2.9793876833e-06,4.98546878511e-05,4.98546878511e-05
2011-11-10,1.46411195144e-05,1.57473684547e-05,5.65713259419e-06,-1.94105543509e-06,1.792182646e-05
2011-11-11,1.71115511862e-05,2.06044509212e-05,7.3883827163e-06,-4.33698403307e-06,2.47345615429e-05
2011-11-12,2.06765872338e-05,2.57293255913e-05,1.73864528626e-05,1.16227416756e-06,2.57293255913e-05
2011-11-13,1.49869359928e-05,2.91149681432e-05,2.31940008264e-05,2.49378845467e-06,2.91149681432e-05
2011-11-14,1.86531618822e-05,2.51617751639e-05,1.77576383775e-05,1.44904662608e-06,2.51617751639e-05
2011-11-15,1.75502412133e-05,2.58540031675e-05,1.81359238942e-05,1.41419614878e-06,2.58540031675e-05
2011-11-16,1.60567174788e-05,2.4288687283e-05,9.6574675772e-06,-1.55764099721e-06,2.4288687283e-05
2011-11-17,8.61909416931e-06,4.0431740554e-06,9.16535521301e-07,-4.90157619222e-06,1.06030774729e-05
2011-11-18,1.85099810459e-06,6.76257209875e-06,1.94197312751e-07,-5.73183465734e-06,6.76257209875e-06
2011-11-19,7.13341186719e-06,2.81809630588e-05,1.69186733442e-05,-3.05528892842e-07,2.81809630588e-05
2011-11-20,1.80816993865e-05,2.46784089874e-05,1.65651176863e-05,4.63479086634e-07,2.46784089874e-05
2011-11-21,6.21841637019e-06,1.00935152435e-05,-5.87542926774e-07,-4.67782169088e-06,1.00935152435e-05
2011-11-22,5.76100848603e-06,1.79885988561e-05,1.63316681769e-05,-2.69471907755e-06,1.79885988561e-05
2011-11-23,1.99645409427e-05,2.48364377394e-05,1.46041763551e-05,-1.4303800073e-06,2.60563136038e-05
2011-11-24,1.62923661041e-05,2.21718287986e-05,1.58346900654e-05,3.27707141942e-09,2.21718287986e-05
2011-11-25,9.60288573118e-06,6.78023713361e-06,1.20688317209e-06,-5.04877486461e-06,1.08128591675e-05
2011-11-26,-9.13228328206e-07,-2.49144884785e-06,1.11234133689e-05,-3.22737442615e-06,1.11234133689e-05
2011-11-27,1.72823349505e-05,2.05998102643e-05,1.5081778343e-05,1.56530866696e-06,2.05998102643e-05
2011-11-28,1.53708112286e-05,1.87569315729e-05,1.44313576275e-05,7.59192802929e-07,1.97194170604e-05
2011-11-29,1.24078263142e-05,1.46670476096e-05,8.76038789794e-06,-2.60303185691e-07,1.58934625139e-05
2011-11-30,7.96369423675e-06,1.5703029707e-05,1.19066040949e-05,-1.2905046281e-06,1.57553503832e-05
2011-12-01,1.5066047601e-05,2.14870974662e-05,1.04833936987e-05,-2.63054338543e-06,2.14870974662e-05
2011-12-02,1.59995548693e-05,2.14137423174e-05,1.29026390364e-05,-1.78709854738e-06,2.14137423174e-05
2011-12-03,1.57929135421e-05,2.30286019462e-05,1.47423072336e-05,-3.67455071557e-07,2.30286019462e-05
2011-12-04,1.46660412995e-05,1.90102489987e-05,1.28709669688e-05,-1.09755139647e-06,1.90102489987e-05
2011-12-05,2.79027166425e-06,9.47818740884e-06,4.7037221484e-06,-4.61010806074e-06,1.3244161368e-05
2011-12-06,1.51837187643e-05,1.43871190249e-05,9.38517518249e-06,-2.69158142366e-06,1.53620823869e-05
2011-12-07,4.91478290039e-06,1.51530254302e-06,8.61734778329e-07,4.80881591091e-06,4.91478290039e-06
2011-12-08,8.11390720323e-06,1.86472933503e-05,9.05156047311e-06,1.18475170806e-05,1.93405697943e-05
2011-12-09,7.80843576738e-06,2.11169091079e-05,6.11292461803e-06,-1.6079637421e-07,2.11169091079e-05
2011-12-10,1.55868016406e-05,2.11849241905e-05,1.40075444342e-05,-1.87086764577e-06,2.11849241905e-05
2011-12-11,1.43941905622e-05,1.99127916169e-05,1.33755744726e-05,-1.54334539094e-06,1.99127916169e-05
2011-12-12,1.42494664594e-05,1.93728327053e-05,1.21173851079e-05,-1.58801596997e-06,1.93728327053e-05
2011-12-13,1.36515959843e-05,1.97333776851e-05,1.35890188067e-05,-9.69218361726e-07,1.97333776851e-05
2011-12-14,9.98952145073e-06,1.30422251753e-05,9.12203646161e-06,-2.53574634111e-06,1.67501595072e-05
2011-12-15,1.36097664492e-05,1.97349502908e-05,7.04251754286e-06,-4.46331482918e-06,1.97349502908e-05
2011-12-16,9.39146121329e-06,1.95211325805e-05,6.93011585991e-06,-3.81477989804e-06,1.95211325805e-05
2011-12-17,3.60625939152e-06,1.20025322222e-05,9.53979057342e-06,-2.50425517086e-06,1.29628946888e-05
2011-12-18,1.04855072409e-05,1.76972203403e-05,1.18669623442e-05,-1.67188656782e-06,1.76972203403e-05
